Verb,mw export,before,after,before,after,lojbo,Verb,Basic selbrivla?,Semantic class,Semantic class,Semantic class,English Frame,pre,x1,1,x2,2,x3,3,x4,4,x5,post,explanation,place1,place2,place3,place4,place5,related words,x1 type,x2 type,x3 type,x4 type,x5 type,verb1,verb2,verb3,Shown arity less than official?,English 2002's official definition,official arity
rango,"
'''rango''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a bodily organ of  ''x<sub>2</sub><sub>(entity)</sub>''  performing function  ''x<sub>3</sub><sub>(property of nonce place)</sub>'' 
:'''lo rango''' — bodily organ. '''lo te rango''' — function of a bodily organ. 
:'''i lo risna cu sluji rango fi lo ka pambe lo ciblu vi'u lo xadni''' — ''The heart is the muscular organ that pumps blood throughout the body.''
:'''i ti rango lo insekto lo ka tirna''' — ''This is an organ of insects performing the function of listening.''
:Related words: {besna}, {livga}",,,,,,rango,yes,Living. Internal organs,,,,,x<sub>1</sub>,is a bodily organ of ,x<sub>2</sub>,performing function ,x<sub>3</sub>,,,,,,,bodily organ,,function of a bodily organ,,,"{besna}, {livga}",entity,entity,property of nonce place,,,,,,,"x1 is a/the body organ [body-part] of body/species x2 performing function x3 ||| [also sweetmeat (= ragdja)] (cf. besna, livga)",3
ranji,"
'''ranji''' — ''x<sub>1</sub><sub>(entity)</sub>''  persists, continues over time interval or place  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo ranji''' — persistant. 
:'''i lo gusni be fi le bombila cu ranji le nicte''' — ''The light bulb continued burning through the night.''
:'''i lo djacu pu ranji lo barda canlu''' — ''The water continuously covered a large space.''
:Related words: {temci}, {kuspe}, {renvi}, {cedra}, {citsi}, {manfo}, {vitci}, {cukla}, {fliba}, {preja}, {tcena}",,,,,,ranji,yes,,Actions. Event contours,,,,x<sub>1</sub>,"persists, continues over time interval or place ",x<sub>2</sub>,,,,,,,,,persistant,,,,,"{temci}, {kuspe}, {renvi}, {cedra}, {citsi}, {manfo}, {vitci}, {cukla}, {fliba}, {preja}, {tcena}",entity,entity,,,,"persist [to], continue (persist) [to]",,,,"x1 (event/state) continues/persists over interval x2; x1 (property - ka) is continuous over x2 ||| (cf. temci, kuspe, renvi, cedra, citsi, manfo, vitci, cukla, fliba, preja, tcena)",2
ranmi,"
'''ranmi''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a myth about  ''x<sub>2</sub><sub>(entity)</sub>''  ...
:'''lo ranmi''' — myth. 
:'''i mi pu tirna lo simsa ranmi be pa cevni''' — ''I heard a similar myth about a god.''
:Related words: {lijda}, {lisri}, {crida}",,,,,x1 lisri x2 lo dzena be lo se kulnu be x3,ranmi,yes,Socio. Culture. Religion,,,LISRI,,x<sub>1</sub>,is a myth about ,x<sub>2</sub>,,,,,,,,,myth,,,,,"{lijda}, {lisri}, {crida}",entity,entity,,,,,,, ...,"x1 is a myth/legend, a culturally significant story about x2 in mythos x3 of culture x4 ||| [also: x1 is mythical/fairy tale; used adjectivally for non-humanoid creatures (= ramda'u) of story/myth/legend/religion, e.g. dragon; fairy tale (= veryranmi)]; (cf. lijda, lisri, crida)",4
ransu,"
'''ransu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a quantity of bronze ...
:'''lo ransu''' — bronze. 
:'''i lo ransu cu gunma lo tunka joi tinci''' — ''Bronze is composed of copper and tin.''
:'''i ti noi vi'u pixra cu ransu''' — ''The statue is made of bronze.''
:Comment: {lo} {ransu} is an alloy made of copper and tin.
:Related words: {jinme}, {tunka}, {lastu}",,,,,x1 jinme x2 noi mixre lo tunka jo'u lo drata jinme noi mu'a lo tinci,ransu,yes,,Universe. Materials & substances,,,,x<sub>1</sub>,is a quantity of bronze,,,,,,,,,{lo} {ransu} is an alloy made of copper and tin.,bronze,,,,,"{jinme}, {tunka}, {lastu}",entity,,,,,,,, ...,"x1 is a quantity of/contains/is made of bronze of composition including x2 ||| (cf. jinme, tunka, lastu)",2
ranti,"
'''ranti''' — ''x<sub>1</sub><sub>(entity)</sub>''  is soft to force  ''x<sub>2</sub><sub>(clause)</sub>''  ...
:'''lo ranti''' — soft. 
:'''i le pesxu cu ranti lo danre''' — ''The dough is soft when being pressurized.''
:Related words: {ralci}, {jdari}, {lakse}, {tolpro}, {gradu}",,,,,x1 kakne lo ka randa x2 .i x1 jai frili x2 fai lo ka ce'u randa ce'u .i x1 to'e jdari x2,ranti,yes,Universe. Properties,,,,,x<sub>1</sub>,is soft to force ,x<sub>2</sub>,,,,,,,,,soft,,,,,"{ralci}, {jdari}, {lakse}, {tolpro}, {gradu}",entity,clause,,,,,,, ...,"x1 is soft/malleable/moldable/yielding to force x2 in conditions x3 ||| (cf. ralci, jdari, lakse, randa, gradu)",3
ranxi,"
'''ranxi''' — ''x<sub>1</sub><sub>(entity)</sub>''  is ironic, contrary to expectation  ''x<sub>2</sub><sub>(property of x1)</sub>''  in aspect  ''x<sub>3</sub><sub>(property of x1)</sub>'' 
:'''lo ranxi''' — ironic, contrary to expectation. 
:'''i zo co'oi poi do pu cusku cu ranxi lo ka se smuni zo coi vau lo ka se smuni zo co'o''' — ''&quot;Chao&quot; that you said was ironic in that instead of meaning &quot;Hi!&quot; it actually meant &quot;Bye!&quot; ''
:'''i le te ranxi cu du lo nu mi na merko''' — ''The irony is that I'm not an American.''",,,,,,ranxi,yes,,,,,,x<sub>1</sub>,"is ironic, contrary to expectation ",x<sub>2</sub>,in aspect ,x<sub>3</sub>,,,,,,,"ironic, contrary to expectation",,,,,,entity,property of x1,property of x1,,,,,,,"x1 is ironic(al)/contrary to expectation x2 in state/property/aspect x3 ||| (cf. dukti, frica, cizra)",3
rapli,"
'''rapli''' — ''x<sub>1</sub><sub>(entity)</sub>''  occurs, repeats  ''x<sub>2</sub><sub>(number)</sub>''  times
:'''lo rapli''' — repeating event. 
:'''i lo nu mi pu cusku zo coi le fetsi cu se rapli li ci i mi pu ci roi cusku zo coi le fetsi''' — ''I said &quot;Hello!&quot; to her three times.''
:'''i le pruce cu rapli li mu''' — ''The process occurs for the fifth time.''
:Related words: {roi}, {cafne}, {krefu}, {fukpi}, {pilji}, {volta}",,,,,x2 kaidza lo ka ce'u nundumu x1 gi'e fasnu,rapli,yes,,Actions. Event contours,,,,x<sub>1</sub>,"occurs, repeats ",x<sub>2</sub>,times,,,,,,,,repeating event,,,,,"{roi}, {cafne}, {krefu}, {fukpi}, {pilji}, {volta}",entity,number,,,,"occur [to], repeat [to]",,,,"x1 [action] repeats/is repeated for a total of x2 (quantity) occurrences ||| [practice (= rapyzu'e, rapxelcli, rapyzukmo'i)]; (cf. cmavo list roi, cafne, krefu, fukpi, pilji, xruti)",2
rarna,"
'''rarna''' — ''x<sub>1</sub><sub>(entity)</sub>''  is spontaneous or natural
:'''lo rarna''' — spontaneous. 
:'''i ti noi cripu cu rarna''' — ''This bridge is a natural formation.''
:Related words: {rutni}, {jinzi}, {nurma}, {stati}",,,,,,rarna,yes,,Universe. General,,,,x<sub>1</sub>,is spontaneous or natural,,,,,,,,,,spontaneous,,,,,"{rutni}, {jinzi}, {nurma}, {stati}",entity,,,,,,,,,"x1 is natural/spontaneous/instinctive, not [consciously] caused by person(s) ||| (cf. rutni, jinzi, nurma, stati)",
ratcu,"
'''ratcu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a rat of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo ratcu''' — rat. 
:'''i le ratcu co'i canci''' — ''The rat disappeared.''
:Related words: {smacu}",,,,,,ratcu,yes,Living. Mammals,,,,,x<sub>1</sub>,is a rat of species ,x<sub>2</sub>,,,,,,,,,rat,,,,,{smacu},entity,taxon,,,,,,,,x1 is a rat of species/breed x2 ||| (cf. smacu),2
ratni,"
'''ratni''' — ''x<sub>1</sub><sub>(entity)</sub>''  is an atom of element  ''x<sub>2</sub><sub>(number)</sub>''  of isotope number or weight  ''x<sub>3</sub><sub>(entity, number)</sub>'' 
:'''lo ratni''' — atom. '''lo se ratni''' — atomic number. '''lo te ratni''' — isotope number. 
:'''i lo'e tabno cu ratni li xa li pa re''' — ''Carbon is a chemical element number 6 and usually has the isotope number 12.''
:Comment: {kantu} is for a basic unit of a property or activity, {selci} is for a basic physical subunit, generally of a mass.
:Related words: {kantu}, {selci}",,,,,x1 kantu lo ka cmuxu'i kei gi'e klani x2 lo ka vasru xo kau protoni kei gi'e se junta x3,ratni,yes,Universe. Chemical elements,,,,,x<sub>1</sub>,is an atom of element ,x<sub>2</sub>,of isotope number or weight ,x<sub>3</sub>,,,,,,"{kantu} is for a basic unit of a property or activity, {selci} is for a basic physical subunit, generally of a mass.",atom,atomic number,isotope number,,,"{kantu}, {selci}",entity,number,"entity, number",,,,,,,"x1 is an atom of element/atomic number x2 of isotope number/atomic weight x3 ||| (cf. kantu for a basic unit of a property or activity; selci for a basic physical subunit, generally of a mass)",3
rebla,"
'''rebla''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a tail of  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo rebla''' — tail. '''lo se rebla''' — tailed. 
:'''i tu noi gerku cu se rebla lo tordu''' — ''That dog has a short tail.''
:Related words: {nalci}, {pimlu}, {se} {lidne}, {trixe}, {birka}, {jimca}",,,,,x1 xadypau je jimca x2 gi'e na'o jorne lo trixe pagbu be x2,rebla,yes,Living. Non-human body parts,,,,,x<sub>1</sub>,is a tail of ,x<sub>2</sub>,,,,,,,,,tail,tailed,,,,"{nalci}, {pimlu}, {se} {lidne}, {trixe}, {birka}, {jimca}",entity,entity,,,,,,,,"x1 is a/the tail/appendix [body-part] of x2; [metaphor: trailing, following portion/appendage] ||| (cf. nalci, pimlu, se lidne, trixe, birka, jimca)",2
rectu,"
'''rectu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is some meat from  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo rectu''' — meat. 
:'''i ti rectu lo bakni''' — ''This is beef.''
:Related words: {sluji}",,,,,x1 ranti pagbu x2 noi remna ja danlu ku'o gi'e marji lo sluji jo'u grasu,rectu,yes,Living. Internal organs,Universe. Materials & substances,Living. Food. Prepared,,,x<sub>1</sub>,is some meat from ,x<sub>2</sub>,,,,,,,,,meat,,,,,{sluji},entity,entity,,,,,,,,x1 is a quantity of/contains meat/flesh from source/animal x2 ||| (cf. sluji),2
remna,"
'''remna''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a human
:'''lo remna''' — human. 
:'''i xu lo remna ku po'o ka'e cmila''' — ''Can only humans laugh?''
:Related words: {nanmu}, {ninmu}, {prenu}",-x1 is a human/human being/man (non-specific gender-free sense); (adjective:) x1 is human.,_+x1 is a human being.,,,x1 danlu la'o jutsi Homo sapiens jutsi,remna,yes,Living. Mammals,,,,,x<sub>1</sub>,is a human,,,,,,,,,,human,,,,,"{nanmu}, {ninmu}, {prenu}",entity,,,,,,,,,"x1 is a human/human being/man (non-specific gender-free sense); (adjective:) x1 is human ||| (cf. nanmu, ninmu, prenu)",
renro,"
'''renro''' — ''x<sub>1</sub><sub>(entity)</sub>''  throws or launches  ''x<sub>2</sub><sub>(entity)</sub>''  to or at  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo se renro''' — thrown. 
:'''i pa nanla pu renro pa rokci le canko''' — ''A boy threw a stone at the window.''
:Comment: {cecla} is a more general term.
:Related words: {cecla}, {danti}",,,,,x1 gasnu ja bapli lo nu x2 cliva x1 fa'a x3 .i x1 cecla x2 fa'a x3,renro,yes,,,Actions. Movement,,,x<sub>1</sub>,throws or launches ,x<sub>2</sub>,to or at ,x<sub>3</sub>,,,,,,{cecla} is a more general term.,,thrown,,,,"{cecla}, {danti}",entity,entity,entity,,,"throw [to], launch [to]",,,,"x1 throws/launches/casts/hurls x2 to/at/in direction x3 (propulsion derives internally to x1) ||| (cf. cecla (more general term), danti)",3
renvi,"
'''renvi''' — ''x<sub>1</sub><sub>(entity)</sub>''  survives or endures  ''x<sub>2</sub><sub>(clause)</sub>''  ...
:'''lo renvi''' — survivor. '''lo se renvi''' — age. 
:'''i mi mo'u renvi le xlali tcini''' — ''I survived that terrible situation.''
:Related words: {ranji}, {kuspe}, {fapro}, {lifri}, {stali}, {temci}",,,"_-Also lasts out, withstands; x1 persists/lasts for duration x3; (adjective:) x1 is tough/durable. See also {ranji}, {kuspe}, {randa}, {lifri}, {stali}, {temci}.","_+Also lasts out, withstands; x1 persists/lasts for duration x3. See also {ranji}, {kuspe}, {randa}, {lifri}, {stali}, {temci}.",x1 lifri je na'e randa x2 .i x2 na fanta lo nu x1 stali lo ka jmive ja zasti ,renvi,yes,,Actions. Event contours,,,,x<sub>1</sub>,survives or endures ,x<sub>2</sub>,,,,,,,,,survivor,age,,,,"{ranji}, {kuspe}, {fapro}, {lifri}, {stali}, {temci}",entity,clause,,,,"survive [to], endure [to], live (survive) [to]",,, ...,"x1 survives/endures/undergoes/abides/lasts/persists through x2 for interval/duration x3 ||| [also lasts out, withstands; x1 persists/lasts for duration x3; (adjective:) x1 is tough/durable]; (cf. ranji, kuspe, randa, lifri, stali, temci)",3
respa,"
'''respa''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a reptile of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo respa''' — reptile. 
:'''i lo respa cu xabju le korbi be le rirxe''' — ''Reptiles inhabit the coast of the river.''
:Related words: {danlu}, {banfi}, {since}",,,,,x1 lekselblu bogda'u x2 noi jutsi la'o klesi Reptilia klesi,respa,yes,Living. Vertebrates,,,,,x<sub>1</sub>,is a reptile of species ,x<sub>2</sub>,,,,,,,,,reptile,,,,,"{danlu}, {banfi}, {since}",entity,taxon,,,,,,,,"x1 is a reptile of species/breed x2 ||| (cf. danlu, banfi, since)",2
ricfu,"
'''ricfu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is rich in  ''x<sub>2</sub><sub>(property of x1)</sub>'' 
:'''lo ricfu''' — rich, wealthy. 
:'''i xu do ricfu lo ka ponse lo tumla''' — ''Are you rich in how much land you own?''
:Comment: x<sub>2</sub> specifies the actual state of affairs that describes why x<sub>1</sub> is considered rich.
:Related words: {solji}, {banzu}, {zildukse}, {pindi}",,,,,x1 mutce lo ka tolcau ja ponse x2 .i x1 to'e pindi x2,ricfu,yes,"Socio. Money, trade etc",,,,,x<sub>1</sub>,is rich in ,x<sub>2</sub>,,,,,,,,x<sub>2</sub> specifies the actual state of affairs that describes why x<sub>1</sub> is considered rich.,"rich, wealthy",,,,,"{solji}, {banzu}, {zildukse}, {pindi}",entity,property of x1,,,,,,,,"x1 is rich/wealthy in goods/possessions/property/aspect x2 ||| (cf. solji, banzu, dukse, pindi)",2
rigni,"
'''rigni''' — ''x<sub>1</sub><sub>(entity)</sub>''  is disgusting to  ''x<sub>2</sub><sub>(entity)</sub>''  ...
:'''lo rigni''' — disgusting. 
:'''i le cidja cu rigni mi''' — ''The food is disgusting to me.''
:Related words: {djica}, {nelci}, {trina}, {vamtu}, {xebni}, {pluka}",,,,,x1 to'e se nelci ja to'e melbi ja to'e kukte ja se malfri x2 .i x1 to'e pluka x2,rigni,yes,,,,,,x<sub>1</sub>,is disgusting to ,x<sub>2</sub>,,,,,,,,,disgusting,,,,,"{djica}, {nelci}, {trina}, {vamtu}, {xebni}, {pluka}",entity,entity,,,,,,, ...,"x1 is repugnant to/causes disgust to x2 under conditions x3 ||| (cf. djica, nelci, trina, vamtu, xebni, pluka)",3
rijno,"
'''rijno''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a quantity of silver
:'''lo rijno''' — silver. 
:'''i le sicni cu rijno''' — ''The coin is silver.''
:Related words: {solji}",,,,,x1 blabi je ranti jinme cmuxu'i gi'e se pilno fi lo ka zbasu lo minra jo'u lo sicni jo'u lo jadni jo'u ctitci li'o kei gi'e se sinxa zo'oi Ag,rijno,yes,Universe. Chemical elements,,,,,x<sub>1</sub>,is a quantity of silver,,,,,,,,,,silver,,,,,{solji},entity,,,,,,,,,"x1 is made of/contains/is a quantity of silver/argentum (Ag); [metaphor: valuable, tarnishing] ||| (cf. solji)",
rilti,"
'''rilti''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a rhythm, rhythmical pattern of  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo rilti''' — rhythm. '''lo se rilti''' — having a rhythm. 
:'''i lo rilti be le pu se sanga be le nakni cu simsa lo'u la la cu cu la la le'u''' — ''The rhythm of the phrase said by him was similar to {la la tcu tcu la la}.''
:Related words: {damri}, {pemci}, {tonga}, {zgike}, {slilu}, {dikni}, {sanga}, {morna}",,,,,,rilti,yes,,Socio. Music/sound,,,,x<sub>1</sub>,"is a rhythm, rhythmical pattern of ",x<sub>2</sub>,,,,,,,,,rhythm,having a rhythm,,,,"{damri}, {pemci}, {tonga}, {zgike}, {slilu}, {dikni}, {sanga}, {morna}",entity,entity,,,,,,,,"x1 (sequence/non-text quote) is a rhythm/beat of music/expressive form x2 ||| [not necessarily oscillatory/regular pattern]; (cf. damri, pemci, tonga, zgike, slilu, dikni, sanga, morna)",2
rimni,"
'''rimni''' — ''x<sub>1</sub><sub>(text)</sub>''  rhymes with  ''x<sub>2</sub><sub>(text)</sub>''  in language  ''x<sub>3</sub><sub>(entity)</sub>''  with correspondence  ''x<sub>4</sub><sub>(property of x1 and x2)</sub>'' 
:'''lo rimni''' — having a rhyme. '''lo se rimni''' — rhyming with something. 
:'''i zo kansa rimni zo dansu la lojban lo ka lo ci lamji lerfu je pagbu be ce'u cu simxu lo ka mintu''' — ''{kansa} rhymes with {dansu} in Lojban in that three adjacent letters in each of those words are the same.''
:Related words: {pemci}, {sanga}",,,,,,rimni,yes,Socio. Culture. Language grammar,,,,,x<sub>1</sub>,rhymes with ,x<sub>2</sub>,in language ,x<sub>3</sub>,with correspondence ,x<sub>4</sub>,,,,,having a rhyme,rhyming with something,,,,"{pemci}, {sanga}",text,text,entity,property of x1 and x2,,rhyme with [to],,,,"x1 rhymes/alliterates with x2 in language/phonetics x3, matching sound correspondence x4 (ka) ||| [broad meaning of rhyme - any matching sound correspondence]; (cf. pemci, sanga)",4
rinci,"
'''rinci''' — liquid  ''x<sub>1</sub><sub>(entity)</sub>''  drains or flushes from  ''x<sub>2</sub><sub>(entity)</sub>''  through drain  ''x<sub>3</sub><sub>(entity)</sub>''  by force  ''x<sub>4</sub><sub>(entity)</sub>'' 
:'''lo rinci''' — draining liquid. '''lo te rinci''' — drain, strainer, colander. 
:'''i lo djacu cu rinci pa tubnu za'u pa kevna lo danre''' — ''Water drains from a tube through holes being under pressure.''
:Related words: {pambe}, {tisna}, {setca}, {flu'ente}, {muvdu}, {ganxo}, {rirxe}",,,,,,rinci,yes,Socio. Tools,Universe. Materials & substances,Actions. Movement,,liquid ,x<sub>1</sub>,drains or flushes from ,x<sub>2</sub>,through drain ,x<sub>3</sub>,by force ,x<sub>4</sub>,,,,,draining liquid,,"drain, strainer, colander",,,"{pambe}, {tisna}, {setca}, {flu'ente}, {muvdu}, {ganxo}, {rirxe}",entity,entity,entity,entity,,"drain [to], flush [to]",,,,"x1 liquid/fluid drains/strains/flushes from source x2 through drain/strainer x3 by force x4 ||| [x4 is usually gravity]; (cf. pambe, tisna, setca, flecu, muvdu, ganxo, rirxe)",4
,,,,,,,rindo,,Socio. Culture. Examples,,,,,x<sub>1</sub>,is Native American/Indian in ,x<sub>2</sub>,,,,,,,,,Native American,,,,,"{abniena}, {niengatu}, {nienke'a}, {ancinabe}, {tsalagi}, {siksika}",entity,property of x1,,,,,,,,,
rinju,"
'''rinju''' — ''x<sub>1</sub><sub>(entity)</sub>''  is restrained by  ''x<sub>2</sub><sub>(entity)</sub>''  against  ''x<sub>3</sub><sub>(property of x1)</sub>'' 
:'''lo rinju''' — restrained. '''lo se rinju''' — restraining. 
:'''i lo carmi flu'ente be lo le tcadu pu se rinju mi lo ka tsuku le briju''' — ''Intense traffic prevented me from getting to the office.''
:Related words: {zifre}, {ralte}, {pinfu}, {kavbu}, {fanta}, {jgari}, {jimte}, {bapli}, {e'ande}, {kluza}, {tagji}",,,,,x1 jai se fanta x2 fai x3 .i x2 gasnu lo nu x1 na zifre x3,rinju,yes,,Actions. Event causation,,,,x<sub>1</sub>,is restrained by ,x<sub>2</sub>,against ,x<sub>3</sub>,,,,,,,restrained,restraining,,,,"{zifre}, {ralte}, {pinfu}, {kavbu}, {fanta}, {jgari}, {jimte}, {bapli}, {e'ande}, {kluza}, {tagji}",entity,entity,property of x1,,,,,,,"x1 is restrained/held [back]/constrained/kept by restraint x2 against x3 (event) ||| [also: x2 is a restraint/binding for x1, x2 keeps/restrains/holds [back]/constrains x1 from x3 (= selri'u for reordered places); agentive restraint (= ri'urgau, ri'urzu'e)]; (cf. zifre, ralte, pinfu, kavbu, fanta, jgari, jimte, bapli, curmi, kluza, tagji)",3
rinka,"
'''rinka''' — ''x<sub>1</sub><sub>(clause)</sub>''  causes effect  ''x<sub>2</sub><sub>(clause)</sub>''  ...
:'''lo rinka''' — cause. '''lo se rinka''' — effect. 
:'''i lo nu ctuca cu rinka lo nu farvi''' — ''Education is the agent of progress.''
:Related words: {gasnu}, {krinu}, {nibli}, te {zukte}, se {jalge}, {bapli}, {jitro}, {ri'a}, {mukti}, {ciksi}, {volta}",,,,,lo nu x1 fasnu na kakne lo ka na se jalge lo nu x2 fasnu,rinka,yes,,Actions. Event causation,,,,x<sub>1</sub>,causes effect ,x<sub>2</sub>,,,,,,,,,cause,effect,,,,"{gasnu}, {krinu}, {nibli}, te {zukte}, se {jalge}, {bapli}, {jitro}, {ri'a}, {mukti}, {ciksi}, {volta}",clause,clause,,,,cause effect [to],,, ...,"x1 (event/state) effects/physically causes effect x2 (event/state) under conditions x3 ||| [x1 is a material condition for x2; x1 gives rise to x2]; (cf. gasnu, krinu, nibli, te zukte, se jalge, bapli, jitro, cmavo list ri'a, mukti, ciksi, xruti)",3
rinsa,"
'''rinsa''' — ''x<sub>1</sub><sub>(entity)</sub>''  greets, welcomes  ''x<sub>2</sub><sub>(entity)</sub>''  ...
:'''i mi pu rinsa la alis ta'i lo ka jai gau slilu fai lo xance be mi''' — ''I greeted Alice by waving my hand.''
:Related words: {tolrinsa}, {a'oi}, {coi}, {co'o}, {fi'i}",,,,,x1 frati x3 le nu x2 tolcliva,rinsa,yes,Socio. Communication,,,,,x<sub>1</sub>,"greets, welcomes ",x<sub>2</sub>,,,,,,,,,,,,,,"{tolrinsa}, {a'oi}, {coi}, {co'o}, {fi'i}",entity,entity,,,,"greet [to], welcome [to]",,, ...,"x1 (agent) greets/hails/[welcomes/says hello to]/responds to arrival of x2 in manner x3 (action) ||| (cf. friti for welcome/hospitality, cmavo list coi, cmavo list co'o)",3
tolrinsa,"
'''tolrinsa''' — ''x<sub>1</sub><sub>(entity)</sub>''  says goodbye, bids farewell to  ''x<sub>2</sub><sub>(entity)</sub>'' ; x<sub>1</sub> sees x<sub>2</sub> off
:'''i so'i pendo cu tolrinsa la alis''' — ''There were many friends seeing Alice off.''
:Related words: {rinsa}, {friti}, {a'oi}, {coi}, {co'o}, {di'ai}",,,,,x1 to'e rinsa x2 boi x3 .i x1 frati x3 le nu x2 cliva,tolrinsa,yes,Socio. Communication,,,,,x<sub>1</sub>,"says goodbye, bids farewell to ",x<sub>2</sub>,,,,,,,x<sub>1</sub> sees x<sub>2</sub> off,,,,,,,"{rinsa}, {friti}, {a'oi}, {coi}, {co'o}, {di'ai}",entity,entity,,,,"say goodby to [to], bid farewell to [to]",,,,,
rirci,"
'''rirci''' — ''x<sub>1</sub><sub>(entity)</sub>''  is rare, not usual in  ''x<sub>2</sub><sub>(property of x1)</sub>''  among  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo rirci''' — rare. 
:'''i le fetsi cu rirci lo ka carmi gunka vau lo tadni poi dunli vo'a lo ka jai nanca''' — ''She works hard which is unusual among students of her age.''
:'''i mi pu rirci fi lo pendo be mi fe lo ka se cinri lo fasnu e nai lo farna''' — ''I was unusual among my friends in being interested in events and not trends.''
:Related words: {cizra}, {fadni}, {cafne}, {kampu}, {cnano}",-x1 [member] is rare/unusual/uncommon/atypical in property x2 (ka) among members of x3 (set).,_+x1 is rare/unusual/uncommon/atypical in property x2 (ka) among x3.,"_-(x3 is complete specification of set); (cf. cizra, fadni, cafne, kampu, cnano - the generalized opposite to any/all of these concepts)","_+(cf. cizra, fadni, cafne, kampu, cnano - the generalized opposite to any/all of these concepts)",x1 ckaji x2 gi'e cmima x3 noi se cmima so'u ckaji be x2 .i x1 to'e fadni x2 x3,rirci,yes,General. Set structure,,,FADNI,,x<sub>1</sub>,"is rare, not usual in ",x<sub>2</sub>,among ,x<sub>3</sub>,,,,,,,rare,,,,,"{cizra}, {fadni}, {cafne}, {kampu}, {cnano}",entity,property of x1,entity,,,,,,,"x1 [member] is rare/unusual/uncommon/atypical in property x2 (ka) among members of x3 (set) ||| (x3 is complete specification of set); (cf. cizra, fadni, cafne, kampu, cnano - the generalized opposite to any/all of these concepts)",3
rirni,"
'''rirni''' — ''x<sub>1</sub><sub>(entity)</sub>''  rears  ''x<sub>2</sub><sub>(entity)</sub>'' ; x<sub>1</sub> is a parent of x<sub>2</sub>
:'''lo rirni''' — parent (rearer). 
:'''i la edvard cu rirni la alis''' — ''Edward is a parent of Alice.''
:Related words: {rorci}, {mamta}, {patfu}, {sidju}, {dzena}, {famti}, {verba}, {bersa}",,,,,x1 kurji x2 ze'a lo nu x2 banro lo makcu lo cifnu,rirni,yes,Living. Family,,Links,,,x<sub>1</sub>,rears ,x<sub>2</sub>,,,,,,,x<sub>1</sub> is a parent of x<sub>2</sub>,,parent (rearer),,,,,"{rorci}, {mamta}, {patfu}, {sidju}, {dzena}, {famti}, {verba}, {bersa}",entity,entity,,,,rear [to],,,,"x1 is a parent of/raises/rears x2; x1 mentors/acts parental toward child/protege x2 ||| (cf. rorci, mamta, patfu, sidju, dzena, famti, verba, bersa)",2
rirxe,"
'''rirxe''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a river of land mass  ''x<sub>2</sub><sub>(entity)</sub>''  draining watershed  ''x<sub>3</sub><sub>(entity)</sub>''  ...
:'''lo rirxe''' — river. '''lo te rirxe''' — watershed of a river. 
:'''i ti rirxe pa sudga tumla lo vifne poi flu'ente lo xamsi lo krasi pe lo cmana lo condi''' — ''This is a river in a dry land running its fresh waters in a deep river bed towards the sea from springheads in the mountains.''
:Related words: {flu'ente}, {naxle}, {senta}, {daplu}, {djacu}, {lalxu}, {xamsi}, {rinci}",,,,,x1 flecu lo djacu tu'i x2 noi tumla ku'o fo x3 fi x4,rirxe,yes,Geography. Geology,,Actions. Movement,,,x<sub>1</sub>,is a river of land mass ,x<sub>2</sub>,draining watershed ,x<sub>3</sub>,,,,,,,river,,watershed of a river,,,"{flu'ente}, {naxle}, {senta}, {daplu}, {djacu}, {lalxu}, {xamsi}, {rinci}",entity,entity,entity,,,,,, ...,"x1 is a river of land mass x2, draining watershed x3 into x4/terminating at x4 ||| (cf. flecu, senta for most metaphorical aspects; daplu, djacu, lalxu, xamsi, rinci, naxle)",4
rismi,"
'''rismi''' — ''x<sub>1</sub><sub>(entity)</sub>''  is some rice of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo rismi''' — rice. 
:'''i mi citka lo rismi su'o roi ro djedi''' — ''I eat rice every day.''
:Related words: {gurni}",,,,,x1 gurni ja spati x2 noi jutsi la'o jutsi Oryza sativa jutsi,rismi,yes,Living. Food. Grains,,,,,x<sub>1</sub>,is some rice of species ,x<sub>2</sub>,,,,,,,,,rice,,,,,{gurni},entity,taxon,,,,,,,,x1 is a quantity of rice [a type of grain] of strain/cultivar x2 ||| (cf. gurni),2
