particle,mw export,particle,1,2,3 (comm.),1,4 (links),krama'o,mijma'o,famyma'o,S,Basic cmavo?,K,L,gloss ja'ai,gloss cu'i,gloss nai,definition,particle,mw export,particle,1,2,3 (comm.),1,4 (links),krama'o,mijma'o,famyma'o,S,Basic cmavo?,K,L,gloss ja'ai,gloss cu'i,gloss nai,,,,
pau,"
'''pau''' <small>[interjection]</small> — optional question marker | {pau} {nai} — marks the question as a rhetorical one
:'''i pau do retsku lo se du'u ma krinu su'o nu balvi vau ji su'o nu pilno''' — ''You are asking of what is the reason for something happening in the future, and/or in usage. What is that reason, and is it for something happening in the future, a usage, or both?''
:'''i lo prenu cu bebna ki'u ma pau nai''' — ''Why people are so stupid?''
:Comment: {pau} marks the question as non-rhetorical, in other words, the one that is expected to be answered. {pau} may be used for expressing symbol &quot;¿&quot; in Spanish.
:Related words: {retsku}",pau,interjection,optional question marker | {pau} {nai} — marks the question as a rhetorical one,"{pau} marks the question as non-rhetorical, in other words, the one that is expected to be answered. {pau} may be used for expressing symbol &quot;¿&quot; in Spanish",discursive,{retsku},,,,UI3a,yes,interjection,,,,,discursive: optional question premarker,pau,"
'''pau''' <small>[interjection]</small> — optional question marker | {pau} {nai} — marks the question as a rhetorical one
:'''i pau do retsku le se du'u ma krinu su'o nu balvi vau ji su'o nu pilno''' — ''You are asking of what is the reason for something happening in the future, and/or in usage. What is that reason, and is it for something happening in the future, a usage, or both?''
:'''i le prenu cu bebna ki'u ma pau nai''' — ''Why people are so stupid?''
:Comment: {pau} marks the question as non-rhetorical, in other words, the one that is expected to be answered. {pau} may be used for expressing symbol &quot;¿&quot; in Spanish.
:Related words: {retsku}",pau,interjection,optional question marker | {pau} {nai} — marks the question as a rhetorical one,"{pau} marks the question as non-rhetorical, in other words, the one that is expected to be answered. {pau} may be used for expressing symbol &quot;¿&quot; in Spanish",discursive,{retsku},,,,UI3a,yes,interjection,,,,,,,,
,---,sa'a,interjection,material inserted by editor/narrator (bracketed text),,discursive,{setca},,,,UI3a,,interjection,,,,,discursive: material inserted by editor/narrator (bracketed text),,---,sa'a,interjection,material inserted by editor/narrator (bracketed text),,discursive,{setca},,,,UI3a,,interjection,,,,,,,,
ji'a,"
'''ji'a''' <small>[interjection]</small> — @@@additionally@@@, @@@too@@@
:'''i mi ji'a je'a nelci''' — ''I like it too.''
:'''i lo xagji cribe cu citka lo insekto ku ji'a sai''' — ''A hungry bear will eat even insects.''
:Comment: {ji'a} means 'additionally', {si'a} means 'similarly' implying that there is another salient difference.
:Related words: {jmina}",ji'a,interjection,"@@@additionally@@@, @@@too@@@","{ji'a} means 'additionally', {si'a} means 'similarly' implying that there is another salient difference",discursive,{jmina},,,,UI3b,yes,interjection,,"additionally, too, also",,,discursive: additionally,ji'a,"
'''ji'a''' <small>[interjection]</small> — @@@additionally@@@, @@@too@@@
:'''i mi ji'a je'a nelci''' — ''I like it too.''
:'''i le xagji cribe cu citka le insekto ku ji'a sai''' — ''A hungry bear will eat even insects.''
:Comment: {ji'a} means 'additionally', {si'a} means 'similarly' implying that there is another salient difference.
:Related words: {jmina}",ji'a,interjection,"@@@additionally@@@, @@@too@@@","{ji'a} means 'additionally', {si'a} means 'similarly' implying that there is another salient difference",discursive,{jmina},,,,UI3b,yes,interjection,,"additionally, too, also",,,,,,
ku'i,"
'''ku'i''' <small>[interjection]</small> — @@@however, although, contrarily, but, in contrast@@@ | {ku'i} {nai} — @@@in line@@@
:'''i ku'i mi na ralte su'o jdini''' — ''However, I don't have money.''
:'''i le fetsi pu ku tatpi gi'e ku'i nai co'a sipna''' — ''She was tired and in line with that she fell asleep.''
:Comment: English 'but' is also a conjunction and this corresponds more to {je} {ku'i} / {gi'je} {ku'i} / {e} {ku'i}. {ku'i} {nai} is used to draw conclusions in accordance with those statements which were said previously.
:Related words: {frica}, {dukti}, {na} {panra}",ku'i,interjection,"@@@however, although, contrarily, but, in contrast@@@ | {ku'i} {nai} — @@@in line@@@",English 'but' is also a conjunction and this corresponds more to {je} {ku'i} / {gi'je} {ku'i} / {e} {ku'i}. {ku'i} {nai} is used to draw conclusions in accordance with those statements which were said previously,discursive,"{frica}, {dukti}, {na} {panra}",,,,UI3b,yes,interjection,,"however, but, in contrast, although",,in line,discursive: however/but/in contrast,ku'i,"
'''ku'i''' <small>[interjection]</small> — @@@however, although, contrarily, but, in contrast@@@ | {ku'i} {nai} — @@@in line@@@
:'''i ku'i mi na ralte su'o jdini''' — ''However, I don't have money.''
:'''i le mi'u fetsi pu ku tatpi gi'e ku'i nai co'a sipna''' — ''She was tired and in line with that she fell asleep.''
:Comment: English 'but' is also a conjunction and this corresponds more to {je} {ku'i} / {gi'je} {ku'i} / {e} {ku'i}. {ku'i} {nai} is used to draw conclusions in accordance with those statements which were said previously.
:Related words: {frica}, {dukti}, {na} {panra}",ku'i,interjection,"@@@however, although, contrarily, but, in contrast@@@ | {ku'i} {nai} — @@@in line@@@",English 'but' is also a conjunction and this corresponds more to {je} {ku'i} / {gi'je} {ku'i} / {e} {ku'i}. {ku'i} {nai} is used to draw conclusions in accordance with those statements which were said previously,discursive,"{frica}, {dukti}, {na} {panra}",,,,UI3b,yes,interjection,,"however, but, in contrast, although",,in line,,,,
mi'u,"
'''mi'u''' <small>[interjection]</small> — @@@ditto@@@ (the same thing) — another one
:'''i mi pu zukte ra mi'u''' — ''I did the same thing.''
:'''i mi pu lebna pa cukta gi'e dunda pa cukta mi'u nai la alis''' — ''I took a book and gave another one to Alice.''
:Related words: {mintu}, {bi'u} {nai}, {le}, {ri}, {ra}",mi'u,interjection,@@@ditto@@@ (the same thing) — another one,,discursive,"{mintu}, {bi'u} {nai}, {le}, {ri}, {ra}",,,,UI3b,yes,interjection,,ditto (the same thing) — another one,,,discursive: ditto,mi'u,"
'''mi'u''' <small>[interjection]</small> — @@@ditto@@@ (the same thing) — another one
:'''i mi pu zukte ra mi'u''' — ''I did the same thing.''
:'''i mi pu lebna pa cukta gi'e dunda pa cukta mi'u nai la alis''' — ''I took a book and gave another one to Alice.''
:Related words: {mintu}, {bi'u} {nai}, {le}, {ri}, {ra}",mi'u,interjection,@@@ditto@@@ (the same thing) — another one,,discursive,"{mintu}, {bi'u} {nai}, {le}, {ri}, {ra}",,,,UI3b,yes,interjection,,ditto (the same thing) — another one,,,,,,
po'o,"
'''po'o''' <small>[interjection]</small> — @@@uniquely, only, solely@@@ (the only relevant case) | {po'o} {cu'i} — @@@for one@@@ (not excluding other) | {po'o} {nai} — @@@among others@@@
:'''i lo troci ku po'o snada i je ku'i lo troci po'o cu fliba''' — ''Only the one who tries, succeeds, and the one who only tries, fails.''
:'''i po'o mi na kansa le fetsi''' — ''The only thing is, I'm not with her.''
:'''i mi pu te vecnu lo jisra ku po'o''' — ''I bought only some juice.''
:'''i mi na zanru lo ve sfasa noi po'o cu'i zekri''' — ''I don't approve of punishments which, for one, are a crime.''
:'''i mi pu te vecnu lo titla ku po'o nai''' — ''I bought candies among other things.''
:Related words: {pa} {mei}, {mulno}, {te} {panra}",po'o,interjection,"@@@uniquely, only, solely@@@ (the only relevant case) | {po'o} {cu'i} — @@@for one@@@ (not excluding other) | {po'o} {nai} — @@@among others@@@",,discursive,"{pa} {mei}, {mulno}, {te} {panra}",,,,UI3b,yes,interjection,,"uniquely, only, solely",for one (not excluding other),among others,"discursive: uniquely, only, solely: the only relevant case",po'o,"
'''po'o''' <small>[interjection]</small> — @@@uniquely, only, solely@@@ (the only relevant case) | {po'o} {cu'i} — @@@for one@@@ (not excluding other) | {po'o} {nai} — @@@among others@@@
:'''i le troci ku po'o snada i je ku'i le troci po'o cu fliba''' — ''Only the one who tries, succeeds, and the one who only tries, fails.''
:'''i po'o mi na kansa le mi'u fetsi''' — ''The only thing is, I'm not with her.''
:'''i mi pu te vecnu le jisra ku po'o''' — ''I bought only some juice.''
:'''i mi na zanru le ve sfasa noi po'o cu'i zekri''' — ''I don't approve of punishments which, for one, are a crime.''
:'''i mi pu te vecnu le titla ku po'o nai''' — ''I bought candies among other things.''
:Related words: {pa} {mei}, {mulno}, {te} {panra}",po'o,interjection,"@@@uniquely, only, solely@@@ (the only relevant case) | {po'o} {cu'i} — @@@for one@@@ (not excluding other) | {po'o} {nai} — @@@among others@@@",,discursive,"{pa} {mei}, {mulno}, {te} {panra}",,,,UI3b,yes,interjection,,"uniquely, only, solely",for one (not excluding other),among others,,,,
si'a,"
'''si'a''' <small>[interjection]</small> — @@@similarly@@@ | {si'a} {nai} — @@@not similarly@@@
:'''i mi si'a pu vitke le tcadu i sa'u go'i ca pa drata nanca''' — ''I also visited the city (just in another year).''
:'''i mi nelci lo finpe si'a nai''' — ''But i like fish.''
:Comment: {ji'a} means @@@additionally@@@, {si'a} means @@@similarly@@@ implying that there is another salient difference.
:Related words: {simsa}, {panra}",si'a,interjection,@@@similarly@@@ | {si'a} {nai} — @@@not similarly@@@,"{ji'a} means @@@additionally@@@, {si'a} means @@@similarly@@@ implying that there is another salient difference",discursive,"{simsa}, {panra}",,,,UI3b,yes,interjection,,similarly,,,discursive: similarly,si'a,"
'''si'a''' <small>[interjection]</small> — @@@similarly@@@ | {si'a} {nai} — @@@not similarly@@@
:'''i mi si'a pu vitke le mi'u tcadu i sa'u go'i ca pa drata nanca''' — ''I also visited the city (just in another year).''
:'''i mi nelci le finpe si'a nai''' — ''But i like fish.''
:Comment: {ji'a} means @@@additionally@@@, {si'a} means @@@similarly@@@ implying that there is another salient difference.
:Related words: {simsa}, {panra}",si'a,interjection,@@@similarly@@@ | {si'a} {nai} — @@@not similarly@@@,"{ji'a} means @@@additionally@@@, {si'a} means @@@similarly@@@ implying that there is another salient difference",discursive,"{simsa}, {panra}",,,,UI3b,yes,interjection,,similarly,,,,,,
pe'a,"
'''pe'a''' — marks a construct as figurative, non-literal, metaphorical | {pe'a} {nai} — marks a construct as having literal meaning
:'''i lo ditcu cu jdini pe'a''' — ''Time is money.''
:'''i le nanmu cu lanbi pe'a''' — ''He is a &quot;sheep&quot; (figuratively).''
:'''i mi xagji pe'a lo ka tavla''' — ''I'm hungry for talking.''
:'''i mi xagji pe'a nai''' — ''I'm literally hungry.''",pe'a,,"marks a construct as figurative, non-literal, metaphorical | {pe'a} {nai} — marks a construct as having literal meaning",,,,,,,UI3c,yes,interjection,,,,,marks a construct as figurative (non-literal/metaphorical) speech/text,pe'a,"
'''pe'a''' — marks a construct as figurative, non-literal, metaphorical | {pe'a} {nai} — marks a construct as having literal meaning
:'''i le ditcu cu jdini pe'a''' — ''Time is money.''
:'''i le mi'u nanmu cu lanbi pe'a''' — ''He is a &quot;sheep&quot; (figuratively).''
:'''i mi xagji pe'a le ka tavla''' — ''I'm hungry for talking.''
:'''i mi xagji pe'a nai''' — ''I'm literally hungry.''",pe'a,,"marks a construct as figurative, non-literal, metaphorical | {pe'a} {nai} — marks a construct as having literal meaning",,,,,,,UI3c,yes,interjection,,,,,,,,
re'e,"
'''re'e''' <small>[interjection modifier]</small> — religious/worship/supernatural attribute | {re'e} {cu'i} — secular attribute | {re'e} {nai} — sacrilegious attribute
:'''i ko na cliva mi doi lo crida iu re'e''' — ''Don't leave me, oh my beloved fairy!''
:'''i do io nai re'e nai se lijda lo mabla''' — ''Yay, you built a temple (well, no religious feelings here)!''
:'''i ui re'e cu'i do'o pu zbasu lo malsi''' — ''You belong to a shitty religion, no respect to you in this!''
:Comment: used without an attitudinal to indicate focus of the speaker.
:Related words: {lijda}",re'e,interjection modifier,religious/worship/supernatural attribute | {re'e} {cu'i} — secular attribute | {re'e} {nai} — sacrilegious attribute,used without an attitudinal to indicate focus of the speaker,emotion category/modifier,{lijda},,,,UI4,yes,interjection,,,,,emotion category/modifier: religious/spiritual/worship — sacrilege,re'e,"
'''re'e''' <small>[interjection modifier]</small> — religious/worship/supernatural attribute | {re'e} {cu'i} — secular attribute | {re'e} {nai} — sacrilegious attribute
:'''i ko na cliva mi doi le crida iu re'e''' — ''Don't leave me, oh my beloved fairy!''
:'''i do io nai re'e nai se lijda le mabla''' — ''You belong to a shitty religion, no respect to you in this!''
:'''i ui re'e cu'i do'o pu zbasu le malsi''' — ''Yay, you built a temple (well, no religious feelings here)!''
:Comment: used without an attitudinal to indicate focus of the speaker.
:Related words: {lijda}",re'e,interjection modifier,religious/worship/supernatural attribute | {re'e} {cu'i} — secular attribute | {re'e} {nai} — sacrilegious attribute,used without an attitudinal to indicate focus of the speaker,emotion category/modifier,{lijda},,,,UI4,yes,interjection,,,,,,,,
ro'a,"
'''ro'a''' <small>[interjection modifier]</small> — interacting socially (communication, customs) | {ro'a} {cu'i} — not focused towards interacting socially | {ro'a} {nai} — focused away from interacting socially
:'''i oi ro'a ca ti mi se cfipu''' — ''Awkward. I'm confused.''
:'''i ui ro'a cu'i mi cikre lo skami pe mi''' — ''I'm just puttering here by myself, fixing my computer.''
:'''i ui nai ro'a no da zvati ti''' — ''I feel so lonely, nobody is here.''
:Comment: used without an attitudinal to indicate focus of the speaker.
:Related words: {jikca}",ro'a,interjection modifier,"interacting socially (communication, customs) | {ro'a} {cu'i} — not focused towards interacting socially | {ro'a} {nai} — focused away from interacting socially",used without an attitudinal to indicate focus of the speaker,emotion category/modifier,{jikca},,,,UI4,yes,interjection,,,,,emotion category/modifier: social — antisocial,ro'a,"
'''ro'a''' <small>[interjection modifier]</small> — interacting socially (communication, customs) | {ro'a} {cu'i} — not focused towards interacting socially | {ro'a} {nai} — focused away from interacting socially
:'''i oi ro'a ca ti mi se cfipu''' — ''Awkward. I'm confused.''
:'''i ui ro'a cu'i mi cikre le skami pe mi''' — ''I'm just puttering here by myself, fixing my computer.''
:'''i ui nai ro'a no da zvati ti''' — ''I feel so lonely, nobody is here.''
:Comment: used without an attitudinal to indicate focus of the speaker.
:Related words: {jikca}",ro'a,interjection modifier,"interacting socially (communication, customs) | {ro'a} {cu'i} — not focused towards interacting socially | {ro'a} {nai} — focused away from interacting socially",used without an attitudinal to indicate focus of the speaker,emotion category/modifier,{jikca},,,,UI4,yes,interjection,,,,,,,,
ro'e,"
'''ro'e''' <small>[interjection modifier]</small> — thinking/intellectual aspect | {ro'e} {cu'i} — not focused towards contemplating | {ro'e} {nai} — mindless action
:'''i ui ro'e mi morji''' — ''Yay, I remember!''
:'''i a'i ro'e cu'i mi ba zukte''' — ''I will do it not putting much intellectual effort.''
:'''i do marvele iu ro'e nai''' — ''There is no logic in it, you are just wonderful.''
:Comment: used without an interjection to indicate focus of the speaker.
:Related words: {menli}",ro'e,interjection modifier,thinking/intellectual aspect | {ro'e} {cu'i} — not focused towards contemplating | {ro'e} {nai} — mindless action,used without an interjection to indicate focus of the speaker,emotion category/modifier,{menli},,,,UI4,yes,interjection,,,,,emotion category/modifier: mental — mindless,ro'e,"
'''ro'e''' <small>[interjection modifier]</small> — thinking/intellectual aspect | {ro'e} {cu'i} — not focused towards contemplating | {ro'e} {nai} — mindless action
:'''i ui ro'e mi morji''' — ''Yay, I remember!''
:'''i a'i ro'e cu'i mi ba zukte''' — ''I will do it not putting much intellectual effort.''
:'''i do marvele iu ro'e nai''' — ''There is no logic in it, you are just wonderful.''
:Comment: used without an interjection to indicate focus of the speaker.
:Related words: {menli}",ro'e,interjection modifier,thinking/intellectual aspect | {ro'e} {cu'i} — not focused towards contemplating | {ro'e} {nai} — mindless action,used without an interjection to indicate focus of the speaker,emotion category/modifier,{menli},,,,UI4,yes,interjection,,,,,,,,
ro'i,"
'''ro'i''' <small>[interjection modifier]</small> — emotionally | {ro'i} {cu'i} — non-emotionally | {ro'i} {nai} — denying emotions
:'''i ui ro'i sai mi'a jinga''' — ''I'm just overwhelmed with emotions, we won!!''
:'''i do mo ro'i''' — ''How do you feel?''
:'''i ui ro'i cu'i mi kanro''' — ''Feelings apart, I'm healthy.''
:'''i ui ro'i nai do snada''' — ''No rejoicing from me, you succeded.''
:Related words: {cinmo}",ro'i,interjection modifier,emotionally | {ro'i} {cu'i} — non-emotionally | {ro'i} {nai} — denying emotions,,emotion category/modifier,{cinmo},,,,UI4,yes,interjection,,,,,emotion category/modifier: emotional — denying emotion,ro'i,"
'''ro'i''' <small>[interjection modifier]</small> — emotionally | {ro'i} {cu'i} — non-emotionally | {ro'i} {nai} — denying emotions
:'''i ui ro'i sai mi'a jinga''' — ''I'm just overwhelmed with emotions, we won!!''
:'''i do mo ro'i''' — ''How do you feel?''
:'''i ui ro'i cu'i mi kanro''' — ''Feelings apart, I'm healthy.''
:'''i ui ro'i nai do snada''' — ''No rejoicing from me, you succeded.''
:Related words: {cinmo}",ro'i,interjection modifier,emotionally | {ro'i} {cu'i} — non-emotionally | {ro'i} {nai} — denying emotions,,emotion category/modifier,{cinmo},,,,UI4,yes,interjection,,,,,,,,
ro'o,"
'''ro'o''' <small>[interjection modifier]</small> — being restricted to physical body | {ro'o} {cu'i} — not oriented towards physical experience | {ro'o} {nai} — denying physical experience
:'''i oi nai ro'o kukte''' — ''Yum, yum, it's tasty.''
:'''i ii ro'o cu'i ka'e kargu''' — ''I'm afraid it can be expensive.''
:'''i ii ro'o nai mi na drani punji le tanxe''' — ''No, not that it requires physical work, but I'm afraid I might not put the box correctly.''
:Comment: used without an attitudinal to indicate focus of the speaker.
:Related words: {xadni}",ro'o,interjection modifier,being restricted to physical body | {ro'o} {cu'i} — not oriented towards physical experience | {ro'o} {nai} — denying physical experience,used without an attitudinal to indicate focus of the speaker,emotion category/modifier,{xadni},,,,UI4,yes,interjection,,,,,emotion category/modifier: physical — denying physical,ro'o,"
'''ro'o''' <small>[interjection modifier]</small> — being restricted to physical body | {ro'o} {cu'i} — not oriented towards physical experience | {ro'o} {nai} — denying physical experience
:'''i oi nai ro'o kukte''' — ''Yum, yum, it's tasty.''
:'''i ii ro'o cu'i ka'e kargu''' — ''I'm afraid it can be expensive.''
:'''i ii ro'o nai mi na drani punji le mi'u tanxe''' — ''No, not that it requires physical work, but I'm afraid I might not put the box correctly.''
:Comment: used without an attitudinal to indicate focus of the speaker.
:Related words: {xadni}",ro'o,interjection modifier,being restricted to physical body | {ro'o} {cu'i} — not oriented towards physical experience | {ro'o} {nai} — denying physical experience,used without an attitudinal to indicate focus of the speaker,emotion category/modifier,{xadni},,,,UI4,yes,interjection,,,,,,,,
ro'u,"
'''ro'u''' <small>[interjection modifier]</small> — sexually | {ro'u} {nai} — sexual abstinence
:'''i iu ro'u doi lo nanla''' — ''Boy, you are hot, I love you.''
:'''i do melbi iu ro'o cu'i''' — ''You are pretty, not that I love you in sexual sense.''
:'''i do mi kansa ui ro'u nai doi lo pendo''' — ''Yay, you are with me, my buddy.''
:Comment: used without an attitudinal to indicate focus of the speaker.
:Related words: {seksi}",ro'u,interjection modifier,sexually | {ro'u} {nai} — sexual abstinence,used without an attitudinal to indicate focus of the speaker,emotion category/modifier,{seksi},,,,UI4,yes,interjection,,,,,emotion category/modifier: sexual — sexual abstinence,ro'u,"
'''ro'u''' <small>[interjection modifier]</small> — sexually | {ro'u} {nai} — sexual abstinence
:'''i iu ro'u doi le nanla''' — ''Boy, you are hot, I love you.''
:'''i do melbi iu ro'o cu'i''' — ''You are pretty, not that I love you in sexual sense.''
:'''i do mi kansa ui ro'u nai doi le pendo''' — ''Yay, you are with me, my buddy.''
:Comment: used without an attitudinal to indicate focus of the speaker.
:Related words: {seksi}",ro'u,interjection modifier,sexually | {ro'u} {nai} — sexual abstinence,used without an attitudinal to indicate focus of the speaker,emotion category/modifier,{seksi},,,,UI4,yes,interjection,,,,,,,,
be'u,"
'''be'u''' <small>[interjection modifier]</small> — lack/need | {be'u} {cu'i} — presence/satisfaction | {be'u} {nai} — satiation
:'''i u'i be'u ko skicu lo pa drata lisri''' — ''Hehe, not that funny, tell me another story.''
:'''i ui be'u cu'i do bevri le re verba mlatu noi mi pu djica''' — ''Yay, you brought the two kittens whom I wanted.''
:'''i u'i be'u nai ba'a mi ca farlu lo loldi''' — ''Ha-ha-ha, so funny, I can't laugh anymore, I might fall down to the floor now.''
:Related words: {claxu}, {nitcu}, {mansa}",be'u,interjection modifier,lack/need | {be'u} {cu'i} — presence/satisfaction | {be'u} {nai} — satiation,,interjection modifier,"{claxu}, {nitcu}, {mansa}",,,,UI5,yes,interjection,,,,,interjection modifier: lack/need — presence/satisfaction — satiation,be'u,"
'''be'u''' <small>[interjection modifier]</small> — lack/need | {be'u} {cu'i} — presence/satisfaction | {be'u} {nai} — satiation
:'''i u'i be'u ko skicu le pa drata lisri''' — ''Hehe, not that funny, tell me another story.''
:'''i ui be'u cu'i do bevri le mi'u re verba mlatu noi mi pu djica''' — ''Yay, you brought the two kittens whom I wanted.''
:'''i u'i be'u nai ba'a mi ca farlu le loldi''' — ''Ha-ha-ha, so funny, I can't laugh anymore, I might fall down to the floor now.''
:Related words: {claxu}, {nitcu}, {mansa}",be'u,interjection modifier,lack/need | {be'u} {cu'i} — presence/satisfaction | {be'u} {nai} — satiation,,interjection modifier,"{claxu}, {nitcu}, {mansa}",,,,UI5,yes,interjection,,,,,,,,
dai,"
'''dai''' <small>[interjection modifier]</small> — marks empathetic use of interjection, shows another's feelings
:'''i oi ro'o dai tuple doi le cifnu''' — ''I know it hurts, baby!''
:'''i do jinga ui dai''' — ''You won, yay you!''
:'''i ui nai dai lo gerku pe do co'a morsi''' — ''You must be sad, your dog died.''
:Related words: {kansa}",dai,interjection modifier,"marks empathetic use of interjection, shows another's feelings",,interjection ending,{kansa},,,,UI5,yes,interjection,,,,,interjection modifier: marks empathetic use of preceding interjection, shows another's feelings,dai,"
'''dai''' <small>[interjection modifier]</small> — marks empathetic use of interjection, shows another's feelings
:'''i oi ro'o dai tuple doi le mi'u cifnu''' — ''I know it hurts, baby!''
:'''i do jinga ui dai''' — ''You won, yay you!''
:'''i ui nai dai le gerku pe do co'a morsi''' — ''You must be sad, your dog died.''
:Related words: {kansa}",dai,interjection modifier,"marks empathetic use of interjection, shows another's feelings",,interjection ending,{kansa},,,,UI5,yes,interjection,,,,,,,
fu'i,"
'''fu'i''' <small>[interjection modifier]</small> — the state has been achieved easily | {fu'i} {nai} — state has been achieved hard
:'''i e'e fu'i mi cpare le cmana''' — ''I can easily climb the mountain, I can go for it!''
:'''i ui fu'i nai mi tsuku lo korbi be le tcadu''' — ''Yay, that was hard but now I'm at the edge of the city.''
:Related words: {frili}",fu'i,interjection modifier,the state has been achieved easily | {fu'i} {nai} — state has been achieved hard,,interjection modifier,{frili},,,,UI5,yes,interjection,,,,,interjection modifier: easy — difficult,fu'i,"
'''fu'i''' <small>[interjection modifier]</small> — the state has been achieved easily | {fu'i} {nai} — state has been achieved hard
:'''i e'e fu'i mi cpare le mi'u cmana''' — ''I can easily climb the mountain, I can go for it!''
:'''i ui fu'i nai mi tsuku le korbi be le mi'u tcadu''' — ''Yay, that was hard but now I'm at the edge of the city.''
:Related words: {frili}",fu'i,interjection modifier,the state has been achieved easily | {fu'i} {nai} — state has been achieved hard,,interjection modifier,{frili},,,,UI5,yes,interjection,,,,,,,,
ga'i,"
'''ga'i''' <small>[interjection]</small> — expressing hauteur | {ga'i} {cu'i} — expressing equal rank | {ga'i} {nai} — meekness (used with one of lower rank)
:'''i do nitcu ma doi lo pikci ga'i''' — ''What do you need, you beggar?''
:'''i mi ro do ga'i cu'i tavla''' — ''I'm talking to you, my peers.''
:'''i e'o doi lo turni ko sidju mi'a ga'i nai sai''' — ''Please, governor, help us, worthless people.''
:Related words: {gapru}, {cnita}",ga'i,interjection,expressing hauteur | {ga'i} {cu'i} — expressing equal rank | {ga'i} {nai} — meekness (used with one of lower rank),,interjection,"{gapru}, {cnita}",,,,UI5,yes,interjection,,,,,interjection modifier/honorific: hauteur — equal rank — meekness, used with one of lower rank,ga'i,"
'''ga'i''' <small>[interjection]</small> — expressing hauteur | {ga'i} {cu'i} — expressing equal rank | {ga'i} {nai} — meekness (used with one of lower rank)
:'''i do nitcu ma doi le pikci ga'i''' — ''What do you need, you beggar?''
:'''i mi ro do ga'i cu'i tavla''' — ''I'm talking to you, my peers.''
:'''i e'o doi le turni ko sidju mi'a ga'i nai sai''' — ''Please, governor, help us, worthless people.''
:Related words: {gapru}, {cnita}",ga'i,interjection,expressing hauteur | {ga'i} {cu'i} — expressing equal rank | {ga'i} {nai} — meekness (used with one of lower rank),,interjection,"{gapru}, {cnita}",,,,UI5,yes,interjection,,,,,,,
ju'o,"
'''ju'o''' <small>[interjection]</small> — @@@I'm sure@@@ (certainty) | {ju'o} {cu'i} — @@@maybe, perhaps@@@ (uncertainty) | {ju'o} {nai} — @@@I have no idea!@@@ (lack of certainty)
:'''i ju'o do pu pensi da''' — ''You must have thought of something.''
:'''i ju'o cu'i le nakni cu zukte xau le fetsi''' — ''Maybe, he is doing it for her, I'm not sure.''
:'''i ju'o nai xu lo tai valsi cu se pilno''' — ''Are such words used? I have no idea!''
:Related words: {birti}, {cumki}",ju'o,interjection,"@@@I'm sure@@@ (certainty) | {ju'o} {cu'i} — @@@maybe, perhaps@@@ (uncertainty) | {ju'o} {nai} — @@@I have no idea!@@@ (lack of certainty)",,interjection,"{birti}, {cumki}",,,,UI5,yes,interjection,,I'm sure (certainty),"maybe (uncertainty), perhaps",I have no idea! (lack of certainty),interjection modifier: certainty — uncertainty — impossibility,ju'o,"
'''ju'o''' <small>[interjection]</small> — @@@I'm sure@@@ (certainty) | {ju'o} {cu'i} — @@@maybe, perhaps@@@ (uncertainty) | {ju'o} {nai} — @@@I have no idea!@@@ (lack of certainty)
:'''i ju'o do pu pensi da''' — ''You must have thought of something.''
:'''i ju'o cu'i le mi'u nakni cu zukte xau le mi'u fetsi''' — ''Maybe, he is doing it for her, I'm not sure.''
:'''i ju'o nai xu le tai valsi cu se pilno''' — ''Are such words used? I have no idea!''
:Related words: {birti}, {cumki}",ju'o,interjection,"@@@I'm sure@@@ (certainty) | {ju'o} {cu'i} — @@@maybe, perhaps@@@ (uncertainty) | {ju'o} {nai} — @@@I have no idea!@@@ (lack of certainty)",,interjection,"{birti}, {cumki}",,,,UI5,yes,interjection,,I'm sure (certainty),"maybe (uncertainty), perhaps",I have no idea! (lack of certainty),,,,
le'o,"
'''le'o''' <small>[interjection]</small> — @@@Grr!@@@ (aggression) | {le'o} {cu'i} — expressing passive (non-agressive) emotion | {le'o} {nai} — expressing defensive emotion
:'''i le'o ro ko tinbe fi mi''' — ''Everybody follow my orders!''
:'''i le'o cu'i sa'u mi pu retsku zo'ei lo nu do se la'u li xo kau kanro''' — ''Hey, I just asked you about your health.''
:'''i le'o nai mi jimpe lo du'u ei mi zutse ti''' — ''Okay, okay, I understand that I have to sit here.''
:Related words: {gunta}, {bandu}",le'o,interjection,@@@Grr!@@@ (aggression) | {le'o} {cu'i} — expressing passive (non-agressive) emotion | {le'o} {nai} — expressing defensive emotion,,interjection,"{gunta}, {bandu}",,,,UI5,yes,interjection,,grr! (aggression),,,interjection modifier: aggressive — passive — defensive,le'o,"
'''le'o''' <small>[interjection]</small> — @@@Grr!@@@ (aggression) | {le'o} {cu'i} — expressing passive (non-agressive) emotion | {le'o} {nai} — expressing defensive emotion
:'''i le mi'u'o ro ko tinbe fi mi''' — ''Everybody follow my orders!''
:'''i le mi'u'o cu'i sa'u mi pu retsku zo'ei le nu do se la'u li xo kau kanro''' — ''Hey, I just asked you about your health.''
:'''i le mi'u'o nai mi jimpe le du'u ei mi zutse ti''' — ''Okay, okay, I understand that I have to sit here.''
:Related words: {gunta}, {bandu}",le'o,interjection,@@@Grr!@@@ (aggression) | {le'o} {cu'i} — expressing passive (non-agressive) emotion | {le'o} {nai} — expressing defensive emotion,,interjection,"{gunta}, {bandu}",,,,UI5,yes,interjection,,grr! (aggression),,,,,,
